q01,q02,q03,q04,q05,q06_1,q06_02,q06_03,q06_04,q06_05,q06_06,q06_other,q07_a,q07_b,q07_c,q07a,q08,q08_a,q09,q09_01,q09_02,q09_03,AgeR
2,2,1,4,1,1,1,1,1,1,2, ,1,4,5, ,2, ,2, , , ,1
2,1,1,4,1,1,2,1,1,1,2, ,4,5,3, ,2, ,1,2,8,5,1
2,1,1,4,1,2,2,1,1,1,2, ,5,3,4, ,2, ,1,1,2,5,1
2,1,2,4,1,1,1,1,1,1,2,kik,5,4,1, ,2, ,2, , , ,1
2,1,2,4,1,1,1,1,1,1,2,Snap chat,3,5,1, ,2, ,2, , , ,1
2,1,1,4,1,1,2,1,1,1,2,snapchat,1,4,5, ,2, ,1,1,2,5,1
2,1,1,2,1,1, ,1,1,1, , ,5,4,1, ,2, ,2, , , ,1
2,1,1,4,1,1,2,1,1,1,2, ,1, , , ,2, ,1,9,1,2,1
2,4,1,3,2,2,2,2,2,1,2, ,5,3,4, ,2, ,1,2,3,5,2
2,2,2,4,1,2,2,1,1,1,2,tumblr/ask/BBM,5,3,4, ,2, ,1,2,8,5,1
2,3,1,4,1,1,2,1,1,1, , ,4,1,3, ,2, ,1,11,8,2,2
2,3,1,4,2,2,2,1,1,1,2, ,5,4,3, ,2, ,1,2,11,1,2
2,1,1,2,1,1,2,1,1,1,2, ,4,3,5, ,2, ,2, , , ,1
2,2,1,4,1,1,2,1,1,1,2, ,4,1,3, ,2, ,1,2,3,1,1
2,1,1,4,1,1,1,1,1,1,2,Tumblr,5,1,3, ,2, ,2, , , ,1
2,1,1,4,1,1,1,1,1,1,2,tumblr  weibo kik,4,3,1, ,1, ,1,1,5,6,1
2,3,1,2,1,2,2,1,1,1,2, ,5,3,4, ,2, ,1,1,2,11,2
2,1,1,4,1,1,2,1,1,1, , ,5,4,1, ,2, ,1,2,5,8,1
2,3,1,3,2,1,1,1,1,1,2, ,4,1,5, ,2, ,1,4,5,8,2
2,1,1,4,1,1,2,1,1,1,2, ,3,5,4, ,2, ,1,2,1,5,1
2,1,1,4,1,1,2,1,1,1,2,bbm,5,4,3, ,2, ,1,2,9,1,1
2,5,1,4,2,2,2,1,1,1,2, ,5,4,3, ,2, ,1,2, , ,2
2,1,1,2,1,2,2,1,1,1,2,bbm,4,5,3, ,2, ,1,2,5,1,1
2,6,1,3,2,1, ,1,1,1, , ,5,4,1, ,2, ,2, , , ,3
2,2,1,3,2,1,1,1,1,1,2, ,5,1,3, ,2, ,1,2,1,8,1
2,6,1,2,4,2,2,1,2,1,2, ,5,3,4, ,2,2,1,2,8,6,3
1,7,1,3,3,2,2,1,2,1,2, ,5,3, , ,2, ,2, , , ,3
2,1,1,4,1, , ,1,1,1, , ,5,4,3, ,2, ,1,2,5,1,1
2,1,1,4,1,1,2,1,1,1,2,bbm,5,1,4, ,2, ,1,2,2,1,1
2,2,1,4,1,1,2,1,1,1,2, ,5,3,4, ,2, ,1,2,5,8,1
1,6,1,4,2,1, , , ,1, , ,5,1, , ,2, ,2, , , ,3
1,1,1,2,1,2,2,1,1,1,2, ,3,5,1, ,2, ,2, , , ,1
1,1,1,2,1,2,2,1,1,1,2, ,3,4,5, ,2, ,2, , , ,1
2,2,1,2,1,1,2,1,1,1,2, ,4,3,1, ,2, ,1,2,1,5,1
2,4,1,4,4,1, ,1,1,1, , ,5,1,4, ,2, ,2, , , ,2
2,2,1,2,1,1,2,1,1,1,2, ,3,1,4, ,2, ,2, , , ,1
2,1,1,3,1,1,2,1,1,1,2, ,5,4,1, ,2, ,1,2,11,12,1
2,2,2,2,4,2,1,1,1,1,2, ,5,4,3, ,2, ,2, , , ,1
1,2,1,4,1,1,1,1,1,1, ,Kik /BBM /ask /Skype,5,1,3, ,2, ,2, , , ,1
2,2,1,4,4,2,2,1,1,1,2, ,5,4,3, ,2, ,1,8,2,11,1
2,2,1,2,1,2,2,1,1,1,2, ,5,3,4, ,2, ,1,2, , ,1
1,2,1,2,1,1,2,2,1,1,2, ,5,4,1, ,2, ,2, , , ,1
2,2,1,2,1,2,2,1,2,1,2, ,5,3, , ,2, ,2, , , ,1
2,3,1,3,2,2, , , ,1,2, ,4,3,1, ,2, ,2, , , ,2
2,2,1,4,1,1,2,1,1,1,2, ,5,4,1, ,2, ,1,8,2,5,1
1,2,1,2,4,1,2,1,1,1,2, ,4,5,1, ,2, ,1,1,2,3,1
1,2,1,4,1,1,1,1,1,1,2, ,4,5,3, ,2, ,1,2,12, ,1
2,1,1,4,1,1,2,1,1,1,2,Snapchat,5,1,4, ,2, ,1,8, , ,1
2,2,1,4,1,1,2,1,2,1,2,lineplay,1,3,5, ,2, ,1,2,6,9,1
2,2,1,4,1,2,2,1,1,1,2, ,5,3,4, ,2, ,2, , , ,1
2,5,1,4,2,2,2,1,1,1,2, ,5,3,4, ,2, ,1,2,1,9,2
2,2,1,4,1,2,2,1,2,1,2, ,5,3,1, ,2, ,2, , , ,1
2,3,1,4,1,1,2,1,1,1,2, ,5,1,3, ,2, ,2, , , ,2
2,2,1,3,2,1,2,1,1,1,2, ,5,4,3, ,2, ,1,1,2,5,1
2,4,1,4,2,1,2,1,1,1,1, ,1,4,5, ,1,1,2,1, , ,2
2,2,3,4,1,1,2,1,1,1,2, ,5,4,3, ,1, ,1,7,7,7,1
2,5,3,2,4,2,2,1,1,1,2, ,5,4,3, ,2, ,2, , , ,2
2,2,1,4,1,2,2,1,1,1,2,kik .. nimbuzz.. snapchat.. bbm,5,4,3, ,2, ,1,1,2,5,1
2,6,1,4,4,1, ,1,1,1, ,tango,5,4,1, ,2, ,2, , , ,3
1,1,1,2,1,1,2,1,1,1, , ,5,1,4, ,2, ,1,6,10,2,1
2,2,1,4,1,1,2,1,1,1,2,snapchat,5,1,4, ,2, ,1,1,2,5,1
1,2,1,4,2,2,2,1,1,1,2, ,5,4,3, ,2, ,1,1,2,3,1
2,2,1,4,1,1,2,1,1,1,2, ,5,4,3, ,2, ,2, , , ,1
2,2,1,4,1,1,2,1,1,1,2,Tumblr,5,1,3, ,1,1,1,1,2,8,1
1,2,1,4,1,2,2,1,1,1,2, ,5, , , ,2, ,2, , , ,1
1,2,1,4,2,1,2,1,1,1,2, ,5,4,1, ,2, ,1,1,3,6,1
2,1,1,4,1,1,2,1,1,1,2,ask - kik,1,5,3, ,2, ,1,2,1,4,1
1,2,1,4,4,1,2,1,1,1,2, ,1,4,5, ,2, ,1, , , ,1
